Data/Ora, PM10, PM2.5
17/10/2021,45,33
18/10/2021,54,37
19/10/2021,78,54
20/10/2021,71,49
21/10/2021,30,18
22/10/2021,43,29
23/10/2021,50,35
24/10/2021,25,18
25/10/2021,29,18
26/10/2021,52,35
27/10/2021,49,32
28/10/2021,59,38
29/10/2021,63,44
30/10/2021,54,39
31/10/2021,27,21
01/11/2021,22,17
02/11/2021,23,17
03/11/2021,15,10
04/11/2021,12,8
05/11/2021,26,17
06/11/2021,22,15
07/11/2021,24,19
08/11/2021,31,22
09/11/2021,26,18
10/11/2021,29,19
11/11/2021,41,27
12/11/2021,45,30
13/11/2021,47,34
14/11/2021,11,8
15/11/2021,17,11
16/11/2021,33,23
17/11/2021,35,26
18/11/2021,34,23
19/11/2021,30,20
20/11/2021,28,19
21/11/2021,25,18
22/11/2021,18,13
23/11/2021,19,12
24/11/2021,33,21
25/11/2021,31,24
26/11/2021,26,19
27/11/2021,29,22
28/11/2021,11,8
29/11/2021,11,7
30/11/2021,16,9
01/12/2021,29,18
02/12/2021,40,29
03/12/2021,45,31
04/12/2021,41,30
05/12/2021,51,40
06/12/2021,56,42
07/12/2021,52,38
08/12/2021,31,24
09/12/2021,29,21
10/12/2021,22,16
11/12/2021,39,31
12/12/2021,50,38
13/12/2021,66,48
14/12/2021,75,55
15/12/2021,74,57
16/12/2021,83,64
17/12/2021,66,48
18/12/2021,50,32
19/12/2021,53,41
20/12/2021,39,31
21/12/2021,53,38
22/12/2021,52,37
23/12/2021,38,29
24/12/2021,52,40
25/12/2021,55,44
26/12/2021,56,48
27/12/2021,61,51
28/12/2021,56,44
29/12/2021,40,30
30/12/2021,50,32
31/12/2021,49,36
01/01/2022,98,79
02/01/2022,54,45
03/01/2022,35,27
04/01/2022,48,31
05/01/2022,,20
06/01/2022,,10
07/01/2022,,17
08/01/2022,,37
09/01/2022,,46
10/01/2022,,
11/01/2022,59,38
12/01/2022,52,31
13/01/2022,65,43
14/01/2022,55,35
15/01/2022,62,43
16/01/2022,57,43
17/01/2022,46,32
18/01/2022,69,50
19/01/2022,78,55
20/01/2022,75,55
21/01/2022,61,36
22/01/2022,58,43
23/01/2022,65,51
24/01/2022,77,58
25/01/2022,59,44
26/01/2022,66,46
27/01/2022,50,34
28/01/2022,45,33
29/01/2022,56,41
30/01/2022,37,28
31/01/2022,42,37
01/02/2022,12,7
02/02/2022,19,10
03/02/2022,32,21
04/02/2022,43,27
05/02/2022,67,48
06/02/2022,86,67
07/02/2022,41,35
08/02/2022,37,23
09/02/2022,43,23
10/02/2022,49,25
11/02/2022,46,25
12/02/2022,32,21
13/02/2022,29,20
14/02/2022,41,32
15/02/2022,42,34
16/02/2022,54,41
17/02/2022,34,22
18/02/2022,56,43
19/02/2022,65,51
20/02/2022,49,34
21/02/2022,29,21
22/02/2022,11,6
23/02/2022,32,22
24/02/2022,43,30
25/02/2022,36,24
26/02/2022,11,7
27/02/2022,15,8
28/02/2022,36,25
01/03/2022,22,13
02/03/2022,42,29
03/03/2022,31,20
04/03/2022,54,39
05/03/2022,30,22
06/03/2022,27,19
07/03/2022,41,28
08/03/2022,35,23
09/03/2022,59,39
10/03/2022,66,44
11/03/2022,39,24
12/03/2022,28,18
13/03/2022,25,18
14/03/2022,36,26
15/03/2022,68,48
16/03/2022,39,24
17/03/2022,65,44
18/03/2022,54,35
19/03/2022,32,22
20/03/2022,31,23
21/03/2022,38,24
22/03/2022,48,32
23/03/2022,59,34
24/03/2022,50,29
25/03/2022,38,24
26/03/2022,46,29
27/03/2022,56,38
28/03/2022,54,33
29/03/2022,53,35
30/03/2022,46,27
31/03/2022,30,18
01/04/2022,17,11
02/04/2022,14,7
03/04/2022,16,12
04/04/2022,,
05/04/2022,,
06/04/2022,46,32
07/04/2022,,
08/04/2022,,
09/04/2022,32,13
10/04/2022,8,5
11/04/2022,16,6
12/04/2022,24,12
13/04/2022,34,20
14/04/2022,38,19
15/04/2022,44,23
16/04/2022,24,12
17/04/2022,14,7
18/04/2022,17,9
19/04/2022,23,12
20/04/2022,23,11
21/04/2022,18,9
22/04/2022,21,12
23/04/2022,23,15
24/04/2022,6,4
25/04/2022,9,5
26/04/2022,15,10
27/04/2022,18,11
28/04/2022,15,8
29/04/2022,21,12
30/04/2022,21,12
01/05/2022,12,8
02/05/2022,17,10
03/05/2022,20,11
04/05/2022,21,12
05/05/2022,24,15
06/05/2022,12,8
07/05/2022,19,11
08/05/2022,10,8
09/05/2022,23,14
10/05/2022,25,15
11/05/2022,25,14
12/05/2022,22,11
13/05/2022,22,10
14/05/2022,21,12
15/05/2022,25,15
16/05/2022,21,11
17/05/2022,25,12
18/05/2022,26,12
19/05/2022,22,11
20/05/2022,30,15
21/05/2022,25,13
22/05/2022,21,12
23/05/2022,21,11
24/05/2022,29,14
25/05/2022,19,10
26/05/2022,29,14
27/05/2022,34,16
28/05/2022,34,14
29/05/2022,11,6
30/05/2022,15,7
31/05/2022,29,16
01/06/2022,29,16
02/06/2022,24,15
03/06/2022,29,15
04/06/2022,22,10
05/06/2022,29,13
06/06/2022,21,9
07/06/2022,13,7
08/06/2022,14,6
09/06/2022,13,6
10/06/2022,15,6
11/06/2022,17,10
12/06/2022,18,11
13/06/2022,29,14
14/06/2022,,
15/06/2022,,
16/06/2022,,
17/06/2022,,
18/06/2022,,
19/06/2022,24,14
20/06/2022,34,16
21/06/2022,31,
22/06/2022,29,
23/06/2022,36,
24/06/2022,23,7
25/06/2022,14,8
26/06/2022,20,12
27/06/2022,38,15
28/06/2022,,
29/06/2022,,9
30/06/2022,,
01/07/2022,,
02/07/2022,22,13
03/07/2022,26,15
04/07/2022,28,13
05/07/2022,16,10
06/07/2022,15,9
07/07/2022,21,12
08/07/2022,18,9
09/07/2022,13,8
10/07/2022,16,9
11/07/2022,17,9
12/07/2022,18,9
13/07/2022,19,10
14/07/2022,29,16
15/07/2022,29,15
16/07/2022,22,13
17/07/2022,24,13
18/07/2022,27,15
