,Passengers
1980-01-01,
1980-02-01,6.0
1980-03-01,14.0
1980-04-01,-3.0
1980-05-01,-8.0
1980-06-01,14.0
1980-07-01,13.0
1980-08-01,0.0
1980-09-01,-12.0
1980-10-01,-17.0
1980-11-01,-15.0
1980-12-01,14.0
1981-01-01,-3.0
1981-02-01,11.0
1981-03-01,15.0
1981-04-01,-6.0
1981-05-01,-10.0
1981-06-01,24.0
1981-07-01,21.0
1981-08-01,0.0
1981-09-01,-12.0
1981-10-01,-25.0
1981-11-01,-19.0
1981-12-01,26.0
1982-01-01,5.0
1982-02-01,5.0
1982-03-01,28.0
1982-04-01,-15.0
1982-05-01,9.0
1982-06-01,6.0
1982-07-01,21.0
1982-08-01,0.0
1982-09-01,-15.0
1982-10-01,-22.0
1982-11-01,-16.0
1982-12-01,20.0
1983-01-01,5.0
1983-02-01,9.0
1983-03-01,13.0
1983-04-01,-12.0
1983-05-01,2.0
1983-06-01,35.0
1983-07-01,12.0
1983-08-01,12.0
1983-09-01,-33.0
1983-10-01,-18.0
1983-11-01,-19.0
1983-12-01,22.0
1984-01-01,2.0
1984-02-01,0.0
1984-03-01,40.0
1984-04-01,-1.0
1984-05-01,-6.0
1984-06-01,14.0
1984-07-01,21.0
1984-08-01,8.0
1984-09-01,-35.0
1984-10-01,-26.0
1984-11-01,-31.0
1984-12-01,21.0
1985-01-01,3.0
1985-02-01,-16.0
1985-03-01,47.0
1985-04-01,-8.0
1985-05-01,7.0
1985-06-01,30.0
1985-07-01,38.0
1985-08-01,-9.0
1985-09-01,-34.0
1985-10-01,-30.0
1985-11-01,-26.0
1985-12-01,26.0
1986-01-01,13.0
1986-02-01,-9.0
1986-03-01,34.0
1986-04-01,2.0
1986-05-01,1.0
1986-06-01,45.0
1986-07-01,49.0
1986-08-01,-17.0
1986-09-01,-35.0
1986-10-01,-38.0
1986-11-01,-37.0
1986-12-01,41.0
1987-01-01,6.0
1987-02-01,-7.0
1987-03-01,40.0
1987-04-01,-4.0
1987-05-01,5.0
1987-06-01,56.0
1987-07-01,39.0
1987-08-01,-8.0
1987-09-01,-50.0
1987-10-01,-49.0
1987-11-01,-35.0
1987-12-01,35.0
1988-01-01,9.0
1988-02-01,-14.0
1988-03-01,55.0
1988-04-01,-8.0
1988-05-01,7.0
1988-06-01,67.0
1988-07-01,43.0
1988-08-01,2.0
1988-09-01,-63.0
1988-10-01,-57.0
1988-11-01,-42.0
1988-12-01,31.0
1989-01-01,4.0
1989-02-01,-22.0
1989-03-01,44.0
1989-04-01,-14.0
1989-05-01,15.0
1989-06-01,72.0
1989-07-01,56.0
1989-08-01,14.0
1989-09-01,-101.0
1989-10-01,-45.0
1989-11-01,-49.0
1989-12-01,27.0
1990-01-01,23.0
1990-02-01,-18.0
1990-03-01,64.0
1990-04-01,-10.0
1990-05-01,24.0
1990-06-01,52.0
1990-07-01,76.0
1990-08-01,11.0
1990-09-01,-96.0
1990-10-01,-56.0
1990-11-01,-45.0
1990-12-01,43.0
