date,value
1901-01-01,513.063
1901-02-01,330.53700000000003
1901-03-01,650.764
1901-04-01,899.152
1901-05-01,825.6
1901-06-01,5389.005
1901-07-01,7506.101
1901-08-01,7632.795
1901-09-01,2879.8940000000002
1901-10-01,2018.518
1901-11-01,54.919000000000004
1901-12-01,1.123
1902-01-01,53.19
1902-02-01,0.402
1902-03-01,9.204
1902-04-01,225.879
1902-05-01,196.091
1902-06-01,2931.2470000000003
1902-07-01,7862.095
1902-08-01,4956.5160000000005
1902-09-01,6107.915
1902-10-01,1977.439
1902-11-01,1106.285
1902-12-01,876.107
1903-01-01,61.021
1903-02-01,20.458
1903-03-01,0.8370000000000001
1903-04-01,75.331
1903-05-01,1752.306
1903-06-01,4149.661
1903-07-01,13352.737
1903-08-01,7987.989
1903-09-01,6096.061
1903-10-01,2634.034
1903-11-01,135.132
1903-12-01,182.748
1904-01-01,9.916
1904-02-01,39.085
1904-03-01,308.457
1904-04-01,67.319
1904-05-01,350.675
1904-06-01,4428.177
1904-07-01,4620.542
1904-08-01,2918.349
1904-09-01,8312.159
1904-10-01,1975.24
1904-11-01,6.21
1904-12-01,51.415
1905-01-01,42.609
1905-02-01,113.884
1905-03-01,56.961
1905-04-01,358.86
1905-05-01,304.147
1905-06-01,3167.84
1905-07-01,7437.342
1905-08-01,5047.778
1905-09-01,6423.059
1905-10-01,958.9499999999999
1905-11-01,121.526
1905-12-01,0.742
1906-01-01,234.445
1906-02-01,87.47
1906-03-01,120.456
1906-04-01,2.821
1906-05-01,252.736
1906-06-01,8474.849
1906-07-01,9238.455
1906-08-01,7867.027
1906-09-01,3014.451
1906-10-01,440.587
1906-11-01,360.79200000000003
1906-12-01,343.138
1907-01-01,21.857
1907-02-01,397.77000000000004
1907-03-01,33.609
1907-04-01,1197.883
1907-05-01,35.737
1907-06-01,5013.832
1907-07-01,9622.905999999999
1907-08-01,8411.999
1907-09-01,2480.475
1907-10-01,81.88799999999999
1907-11-01,205.74
1907-12-01,65.614
1908-01-01,37.465
1908-02-01,40.46
1908-03-01,279.699
1908-04-01,138.207
1908-05-01,148.575
1908-06-01,4702.257
1908-07-01,8975.405
1908-08-01,7199.58
1908-09-01,6897.079
1908-10-01,213.828
1908-11-01,19.293
1908-12-01,34.493
1909-01-01,49.624
1909-02-01,102.799
1909-03-01,144.986
1909-04-01,486.038
1909-05-01,1081.198
1909-06-01,6475.197
1909-07-01,9333.53
1909-08-01,4728.243
1909-09-01,5394.39
1909-10-01,321.792
1909-11-01,18.858999999999998
1909-12-01,918.166
1910-01-01,0.871
1910-02-01,0.33899999999999997
1910-03-01,18.033
1910-04-01,11.25
1910-05-01,378.015
1910-06-01,8848.031
1910-07-01,7213.357
1910-08-01,8422.916
1910-09-01,8603.387999999999
1910-10-01,2130.408
1910-11-01,1440.111
1910-12-01,0.6669999999999999
1911-01-01,142.781
1911-02-01,0.663
1911-03-01,72.903
1911-04-01,7.695
1911-05-01,237.556
1911-06-01,5086.082
1911-07-01,5699.044
1911-08-01,6480.192
1911-09-01,3183.489
1911-10-01,491.608
1911-11-01,1394.192
1911-12-01,96.665
1912-01-01,5.196999999999999
1912-02-01,463.062
1912-03-01,0.006
1912-04-01,323.50600000000003
1912-05-01,335.473
1912-06-01,2418.858
1912-07-01,11576.915
1912-08-01,7467.72
1912-09-01,1952.659
1912-10-01,1194.211
1912-11-01,1277.728
1912-12-01,8.773
1913-01-01,0.0
1913-02-01,313.883
1913-03-01,122.17399999999999
1913-04-01,133.363
1913-05-01,881.429
1913-06-01,8149.939
1913-07-01,9308.008
1913-08-01,4843.295
1913-09-01,3510.781
1913-10-01,761.353
1913-11-01,34.783
1913-12-01,398.111
1914-01-01,0.0
1914-02-01,163.31
1914-03-01,170.706
1914-04-01,542.116
1914-05-01,473.583
1914-06-01,7247.611
1914-07-01,10245.056
1914-08-01,7215.599999999999
1914-09-01,8592.081
1914-10-01,251.016
1914-11-01,703.2860000000001
1914-12-01,388.692
1915-01-01,398.195
1915-02-01,89.651
1915-03-01,1007.151
1915-04-01,811.417
1915-05-01,403.741
1915-06-01,7507.281
1915-07-01,8130.99
1915-08-01,3954.429
1915-09-01,8018.63
1915-10-01,3014.763
1915-11-01,342.31600000000003
1915-12-01,435.613
1916-01-01,0.0
1916-02-01,129.669
1916-03-01,60.226
1916-04-01,72.733
1916-05-01,1181.741
1916-06-01,6468.098
1916-07-01,10257.28
1916-08-01,7427.1849999999995
1916-09-01,8655.859
1916-10-01,3798.701
1916-11-01,1571.505
1916-12-01,0.6669999999999999
1917-01-01,8.248
1917-02-01,698.859
1917-03-01,312.981
1917-04-01,420.802
1917-05-01,792.662
1917-06-01,6686.942
1917-07-01,5097.982
1917-08-01,6975.409
1917-09-01,9059.271999999999
1917-10-01,4138.079
1917-11-01,704.383
1917-12-01,0.6669999999999999
1918-01-01,56.608
1918-02-01,57.658
1918-03-01,66.46300000000001
1918-04-01,69.161
1918-05-01,2320.4719999999998
1918-06-01,4041.937
1918-07-01,3536.818
1918-08-01,3949.365
1918-09-01,1923.4
1918-10-01,161.166
1918-11-01,883.56
1918-12-01,468.281
1919-01-01,487.895
1919-02-01,351.574
1919-03-01,187.444
1919-04-01,126.249
1919-05-01,629.841
1919-06-01,7397.447
1919-07-01,7353.595
1919-08-01,5743.992
1919-09-01,6757.478
1919-10-01,1889.454
1919-11-01,1061.855
1919-12-01,57.961999999999996
1920-01-01,482.24600000000004
1920-02-01,12.145
1920-03-01,57.731
