date,value
1918-01-01,183.25
1918-02-01,183.2
1918-03-01,183.17
1918-04-01,183.14
1918-05-01,183.22
1918-06-01,183.34
1918-07-01,183.4
1918-08-01,183.43
1918-09-01,183.45
1918-10-01,183.44
1918-11-01,183.46
1918-12-01,183.44
1919-01-01,183.38
1919-02-01,183.32
1919-03-01,183.28
1919-04-01,183.31
1919-05-01,183.38
1919-06-01,183.45
1919-07-01,183.48
1919-08-01,183.47
1919-09-01,183.46
1919-10-01,183.42
1919-11-01,183.43
1919-12-01,183.39
1920-01-01,183.29
1920-02-01,183.27
1920-03-01,183.28
1920-04-01,183.36
1920-05-01,183.43
1920-06-01,183.52
1920-07-01,183.58
1920-08-01,183.6
1920-09-01,183.54
1920-10-01,183.5
1920-11-01,183.43
1920-12-01,183.36
1921-01-01,183.31
1921-02-01,183.22
1921-03-01,183.18
1921-04-01,183.23
1921-05-01,183.35
1921-06-01,183.44
1921-07-01,183.48
1921-08-01,183.5
1921-09-01,183.5
1921-10-01,183.44
1921-11-01,183.35
1921-12-01,183.27
1922-01-01,183.17
1922-02-01,183.11
1922-03-01,183.09
1922-04-01,183.15
1922-05-01,183.29
1922-06-01,183.36
1922-07-01,183.45
1922-08-01,183.5
1922-09-01,183.52
1922-10-01,183.45
1922-11-01,183.39
1922-12-01,183.31
1923-01-01,183.23
1923-02-01,183.15
1923-03-01,183.12
1923-04-01,183.11
1923-05-01,183.18
1923-06-01,183.21
1923-07-01,183.27
1923-08-01,183.3
1923-09-01,183.32
1923-10-01,183.3
1923-11-01,183.28
1923-12-01,183.22
1924-01-01,183.15
1924-02-01,183.07
1924-03-01,183.01
1924-04-01,183.02
1924-05-01,183.05
1924-06-01,183.09
1924-07-01,183.12
1924-08-01,183.2
1924-09-01,183.26
1924-10-01,183.28
1924-11-01,183.2
1924-12-01,183.11
1925-01-01,183.02
1925-02-01,182.96
1925-03-01,182.93
1925-04-01,182.94
1925-05-01,182.98
1925-06-01,183.06
1925-07-01,183.12
1925-08-01,183.16
1925-09-01,183.15
1925-10-01,183.1
