date,value
1973-01-01,7.223873
1973-02-01,6.592366
1973-03-01,6.521439
1973-04-01,5.941729
1973-05-01,6.07194
1973-06-01,5.802683
1973-07-01,5.951909
1973-08-01,6.191657
1973-09-01,5.773515
1973-10-01,6.174862
1973-11-01,6.519033
1973-12-01,6.886904
1974-01-01,6.904043
1974-02-01,6.3143
1974-03-01,6.370767
1974-04-01,5.861066
1974-05-01,5.864485
1974-06-01,5.642248
1974-07-01,5.985353
1974-08-01,6.015502
1974-09-01,5.711198
1974-10-01,6.182018
1974-11-01,6.235546
1974-12-01,6.842659
1975-01-01,7.056118
1975-02-01,6.168996
1975-03-01,6.383482
1975-04-01,5.797914
1975-05-01,5.491667
1975-06-01,5.435627
1975-07-01,5.669107
1975-08-01,5.744318
1975-09-01,5.498393
1975-10-01,5.908704
1975-11-01,5.850411
1975-12-01,6.926691
1976-01-01,7.312324
1976-02-01,6.393452
1976-03-01,6.391633
1976-04-01,5.855319
1976-05-01,5.793322
1976-06-01,5.824544
1976-07-01,6.024682
1976-08-01,5.970726
1976-09-01,5.739519
1976-10-01,6.244598
1976-11-01,6.729925
1976-12-01,7.658479
1977-01-01,7.852451
1977-02-01,6.654863
1977-03-01,6.573861
1977-04-01,5.979305
1977-05-01,5.997456
1977-06-01,6.08589
1977-07-01,6.195785
1977-08-01,6.300623
1977-09-01,6.080223
1977-10-01,6.272418
1977-11-01,6.485295
1977-12-01,7.442248
1978-01-01,7.721485
1978-02-01,7.052381
1978-03-01,6.965503
1978-04-01,6.169931
1978-05-01,6.337994
1978-06-01,6.149904
1978-07-01,6.34019
1978-08-01,6.496081
1978-09-01,6.087552
1978-10-01,6.425237
1978-11-01,6.685469
1978-12-01,7.474491
1979-01-01,8.092205
1979-02-01,7.410205
1979-03-01,7.150421
1979-04-01,6.28742
1979-05-01,6.346644
1979-06-01,6.14307
1979-07-01,6.276536
1979-08-01,6.492996
1979-09-01,6.052908
1979-10-01,6.54322
1979-11-01,6.679042
1979-12-01,7.337632
1980-01-01,7.565016
1980-02-01,7.123145
1980-03-01,7.021907
1980-04-01,6.158453
1980-05-01,6.00737
1980-06-01,5.872463
1980-07-01,6.135448
1980-08-01,6.063599
1980-09-01,5.970443
1980-10-01,6.31659
1980-11-01,6.420238
1980-12-01,7.363795
1981-01-01,7.639252
1981-02-01,6.484509
1981-03-01,6.60621
1981-04-01,5.875206
1981-05-01,5.93955
1981-06-01,5.995702
1981-07-01,6.208435
1981-08-01,6.112916
1981-09-01,5.820751
1981-10-01,6.144075
1981-11-01,6.13831
1981-12-01,7.088566
1982-01-01,7.448166
1982-02-01,6.471248
1982-03-01,6.544007
1982-04-01,6.040586
1982-05-01,5.602379
1982-06-01,5.572673
1982-07-01,5.835852
1982-08-01,5.818627
1982-09-01,5.549273
1982-10-01,5.726507
1982-11-01,5.978943
1982-12-01,6.458452
1983-01-01,6.907502
1983-02-01,6.065647
1983-03-01,6.431871
1983-04-01,5.869679
1983-05-01,5.692724
1983-06-01,5.677988
1983-07-01,5.941322
1983-08-01,6.128631
1983-09-01,5.699808
1983-10-01,5.701452
1983-11-01,5.935601
1983-12-01,6.863357
1984-01-01,7.654075
1984-02-01,6.623097
1984-03-01,6.858673
1984-04-01,6.270456
1984-05-01,6.170762
1984-06-01,6.026485
1984-07-01,6.155513
1984-08-01,6.323114
1984-09-01,5.761176
1984-10-01,5.960973
1984-11-01,6.100793
1984-12-01,6.666436
1985-01-01,7.377254
1985-02-01,6.880264
1985-03-01,6.577553
1985-04-01,6.10613
1985-05-01,6.005352
1985-06-01,5.88048
1985-07-01,6.187443
1985-08-01,6.256987
1985-09-01,5.759
1985-10-01,6.026246
1985-11-01,6.059118
1985-12-01,7.219105
1986-01-01,7.395548
1986-02-01,6.620399
1986-03-01,6.775964
1986-04-01,6.109551
1986-05-01,6.099383
1986-06-01,6.015826
1986-07-01,6.354208
1986-08-01,6.223701
1986-09-01,5.818638
1986-10-01,6.039911
1986-11-01,6.119265
1986-12-01,7.027262
1987-01-01,7.472334
1987-02-01,6.729068
1987-03-01,6.767036
1987-04-01,6.313868
1987-05-01,6.199256
1987-06-01,6.280222
1987-07-01,6.626659
1987-08-01,6.514555
1987-09-01,6.123881
1987-10-01,6.362769
1987-11-01,6.342057
1987-12-01,7.277377
1988-01-01,7.800316
1988-02-01,7.308187
1988-03-01,7.296746
1988-04-01,6.449806
1988-05-01,6.390836
1988-06-01,6.507738
